,city
1,Moscow
2,Saint Petersburg
3,Novosibirsk
4,Yekaterinburg
5,Nizhniy Novgorod
6,Kazan
7,Chelyabinsk
8,Omsk
9,Samara
10,Rostov
11,Ufa
12,Krasnoyarsk
13,Voronezh
14,Perm
15,Volgograd
16,Krasnodar
17,Saratov
18,Tyumen
19,Tolyatti
20,Izhevsk
21,Barnaul
22,Ulyanovsk
23,Irkutsk
24,Khabarovsk
25,Yaroslavl
26,Vladivostok
27,Makhachkala
28,Tomsk
29,Orenburg
30,Kemerovo
31,Novokuznetsk
32,Ryazan
33,Naberezhnyye Chelny
34,Astrakhan
35,Penza
36,Lipetsk
37,Kirov
38,Cheboksary
39,Tula
40,Kaliningrad
41,Balashikha
42,Kursk
43,Stavropol
44,Ulan-Ude
45,Tver
46,Magnitogorsk
47,Sochi
48,Ivanovo
49,Bryansk
50,Surgut
51,Belgorod
52,Vladimir
53,Nizhniy Tagil
54,Arkhangelsk
55,Chita
56,Kaluga
57,Smolensk
58,Volzhskiy
59,Cherepovets
60,Saransk
61,Vologda
62,Orël
63,Yakutsk
64,Kurgan
65,Vladikavkaz
66,Podolsk
67,Murmansk
68,Tambov
69,Groznyy
70,Sterlitamak
71,Petrozavodsk
72,Kostroma
73,Nizhnevartovsk
74,Novorossiysk
75,Yoshkar-Ola
76,Nalchik
77,Engels
78,Khimki
79,Taganrog
80,Komsomol’sk-na-Amure
81,Syktyvkar
82,Nizhnekamsk
83,Shakhty
84,Dzerzhinsk
85,Bratsk
86,Orsk
87,Noginsk
88,Kolpino
89,Angarsk
90,Korolëv
91,Blagoveshchensk
92,Velikiy Novgorod
93,Staryy Oskol
94,Mytishchi
95,Lyubertsy
96,Pskov
97,Biysk
98,Prokopyevsk
99,Yuzhno-Sakhalinsk
100,Armavir
101,Balakovo
102,Rybinsk
103,Severodvinsk
104,Abakan
105,Petropavlovsk-Kamchatskiy
106,Norilsk
107,Krasnogorsk
108,Orekhovo-Borisovo Yuzhnoye
109,Syzran
110,Volgodonsk
111,Kamensk-Ural’skiy
112,Ussuriysk
113,Novocherkassk
114,Zlatoust
115,Elektrostal
116,Almetyevsk
117,Salavat
118,Miass
119,Nakhodka
120,Kopeysk
121,Pyatigorsk
122,Rubtsovsk
123,Odintsovo
124,Kolomna
125,Berezniki
126,Khasavyurt
127,Maykop
128,Kovrov
129,Kislovodsk
130,Serpukhov
131,Novocheboksarsk
132,Bataysk
133,Nefteyugansk
134,Domodedovo
135,Kaspiysk
136,Neftekamsk
137,Shchelkovo
138,Novomoskovsk
139,Pervouralsk
140,Cherkessk
141,Derbent
142,Orekhovo-Zuyevo
143,Nazran
144,Nevinnomyssk
145,Dimitrovgrad
146,Reutov
147,Obninsk
148,Kyzyl
149,Ramenskoye
150,Yessentuki
151,Oktyabr’skiy
152,Novyy Urengoy
153,Kamyshin
154,Dolgoprudnyy
155,Zhukovskiy
156,Murom
157,Novoshakhtinsk
158,Seversk
159,Arzamas
160,Artëm
161,Noyabrsk
162,Achinsk
163,Khanty-Mansiysk
164,Pushkino
165,Yelets
166,Berdsk
167,Sergiyev Posad
168,Elista
169,Novokuybyshevsk
170,Noginsk
171,Zheleznogorsk
172,Zelënodol’sk
173,Magadan
174,Lobnya
175,Kuznetsk
176,Ivanteyevka
177,Birobidzhan
178,Georgiyevsk
179,Buynaksk
180,Fryazino
181,Gorno-Altaysk
182,Lytkarino
183,Klimovsk
184,Dzerzhinskiy
185,Moskovskiy
186,Salekhard
187,Kotelniki
188,Krasnoznamensk
189,Kanash
190,Morshansk
191,Dagestanskiye Ogni
192,Kokhma
193,Shumerlya
194,Desnogorsk
195,Udomlya
196,Losino-Petrovskiy
197,Kraskovo
198,Nar’yan-Mar
199,Kudrovo
200,Udelnaya
201,Anadyr
202,Magas
203,Tobolsk
204,Sarapul
205,Votkinsk
206,Serov
207,Ukhta
208,Leninsk-Kuznetskiy
209,Mezhdurechensk
210,Sarov
211,Solikamsk
212,Gatchina
213,Michurinsk
214,Glazov
215,Voskresensk
216,Mikhaylovsk
217,Velikiye Luki
218,Kansk
219,Kiselëvsk
220,Kamensk-Shakhtinskiy
221,Buzuluk
222,Gubkin
223,Novotroitsk
224,Bugulma
225,Shchëkino
226,Yeysk
227,Kineshma
228,Dmitrov
229,Zheleznogorsk
230,Yurga
231,Chaykovskiy
232,Ust’-Ilimsk
233,Azov
234,Anapa
235,Novouralsk
236,Klin
237,Ozërsk
238,Vyborg
239,Usol’ye-Sibirskoye
240,Kropotkin
241,Bor
242,Vorkuta
243,Gelendzhik
244,Chernogorsk
245,Balashov
246,Anzhero-Sudzhensk
247,Shadrinsk
248,Dubna
249,Novoaltaysk
250,Mineral’nyye Vody
251,Yelabuga
252,Yegoryevsk
253,Troitsk
254,Kirovo-Chepetsk
255,Chapayevsk
256,Vsevolozhsk
257,Belovo
258,Verkhnyaya Pyshma
259,Chekhov
260,Minusinsk
261,Tuymazy
262,Kstovo
263,Vidnoye
264,Belogorsk
265,Ishim
266,Gukovo
267,Slavyansk-na-Kubani
268,Kungur
269,Stupino
270,Zarechnyy
271,Beloretsk
272,Ishimbay
273,Donskoy
274,Asbest
275,Klintsy
276,Budënnovsk
277,Volsk
278,Novaya Balakhna
279,Pavlovskiy Posad
280,Rossosh
281,Revda
282,Borisoglebsk
283,Kotlas
284,Zelenogorsk
285,Leninogorsk
286,Tuapse
287,Chistopol
288,Naro-Fominsk
289,Polevskoy
290,Lysva
291,Sibay
292,Kumertau
293,Rzhev
294,Sayanogorsk
295,Belebey
296,Labinsk
297,Urus-Martan
298,Shuya
299,Lesosibirsk
300,Prokhladnyy
301,Aleksandrov
302,Mikhaylovka
303,Izberbash
304,Iskitim
305,Nyagan
306,Tikhvin
307,Meleuz
308,Aleksin
309,Berëzovskiy
310,Tikhoretsk
311,Pavlovo
312,Krasnotur’insk
313,Salsk
314,Krymsk
315,Neryungri
316,Shali
317,Volzhsk
318,Gus’-Khrustal’nyy
319,Apatity
320,Zhigulevsk
321,Liski
322,Svobodnyy
323,Krasnokamsk
324,Gudermes
325,Vyksa
326,Arsenyev
327,Krasnokamensk
328,Sertolovo
329,Vyazma
330,Belorechensk
331,Timashevsk
332,Solnechnogorsk
333,Uzlovaya
334,Severomorsk
335,Cheremkhovo
336,Snezhinsk
337,Nazarovo
338,Mozhga
339,Kirishi
340,Kizlyar
341,Novovyatsk
342,Borovichi
343,Roslavl
344,Buguruslan
345,Lesnoy
346,Kurganinsk
347,Donetsk
348,Kashira
349,Shelekhov
350,Otradnyy
351,Vyshniy Volochëk
352,Livny
353,Kingisepp
354,Zarinsk
355,Berëzovskiy
356,Gryazi
357,Torzhok
358,Megion
359,Kamen’-na-Obi
360,Ruzayevka
361,Aksay
362,Kimry
363,Parma
364,Rasskazovo
365,Nadym
366,Volkhov
367,Kuybyshev
368,Yartsevo
369,Chusovoy
370,Birsk
371,Raduzhnyy
372,Osinniki
373,Shebekino
374,Gay
375,Mozdok
376,Safonovo
377,Monchegorsk
378,Korenovsk
379,Kolchugino
380,Spassk-Dal’niy
381,Tulun
382,Satka
383,Myski
384,Strezhevoy
385,Ust’-Kut
386,Karabulak
387,Verkhnyaya Salda
388,Sovetsk
389,Temryuk
390,Pyt’-Yakh
391,Novozybkov
392,Chebarkul
393,Pugachev
394,Pereslavl’-Zalesskiy
395,Yalutorovsk
396,Pechora
397,Uray
398,Zainsk
399,Belaya Kalitva
400,Mtsensk
